	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	raccogliere l'aqua	2	4	4
1	aprire la scatola	4	5	5
2	raccogliere la frutta	3	5	5
3	raccogliere il grano	2	5	2
4	aprire il cassetto	5	5	5
5	regalare l'anello	5	5	5
6	regalare il biglietto	5	5	5
7	regalare la bottiglia	3	5	5
8	raccogliere il fiore	5	5	5
9	aprire la bottega	3	5	5
10	aprire il pacco	5	5	5
11	raccogliere la legna	4	5	5
12	regalare il fiore	5	5	5
13	aprire la busta	5	5	5
14	aprire il frigo	5	5	5
15	regalare la gioiello	5	5	5
16	aprire il portone	5	5	5
17	aprire la porta	5	5	5
18	regalare la foto	3	5	5
19	aprire il coperchio	4	5	5
20	regalare la collana	3	5	5
21	aprire la finestra	5	5	5
22	raccogliere l'erba	2	5	5
23	raccogliere la moneta	5	5	5
24	raccogliere la palla	5	5	5
25	aprire il portello	3	5	5
